Direction,Box_total,Box_YOY,Top_countries,Time_stamp
Into Russia,Incoming border crossings,"YOY change, incoming border crossings",Incoming crossings for,quarter ending
Into Russia - by populaiton,"of World population, incoming border crossings","YOY change, percent of World population, incoming border crossings","Incoming crossings, by %% of country population, for",quarter ending
Out of Russia,Outgoing border crossings,"YOY change, outgoing border crossings",Outgoing crossings for,quarter ending
Travel balance,,,Travel balance for,quarter ending
